Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
,Primary Facility Type,Primary use type in at least half of the building floor area.,PrimaryFacilityTypeEnum,,Vacant; Commercial - Uncategorized; Office - Uncategorized; Office  - Administrative or Professional; Office - Bank or other financial; Office - Government; Office - Medical non diagnostic; Office - Mixed use; Office - Other; Laboratory; Warehouse - Uncategorized; Warehouse - Refrigerated; Warehouse - Non-refrigerated; Warehouse - Distribution or Shipping center; Warehouse - Self-storage; Food Sales; Convenience store; Convenience store with gas station; Grocery store or food market; Public Safety - Uncategorized; Public Safety - Courthouse; Public Safety - Fire or police station; Public Safety - Jailhouse; Public Safety - Penitentiary; Health Care - Uncategorized; Health Care - Outpatient Uncategorized; Health Care - Outpatient Diagnostic; Health Care - Outpatient Clinic; Health Care - Inpatient; Religious worship; Public Assembly - Uncategorized; Public Assembly - Entertainment/culture; Public Assembly - Movie Theater; Public Assembly - Drama theater; Public Assembly - Large Hall; Public Assembly - Library; Public Assembly - Recreation; Public Assembly - Arena; Public Assembly - Stadium; Public Assembly - Social/meeting; Public Assembly - Funeral home; Public Assembly - Pool; Public Assembly - Other; Education - Uncategorized; Education - College or university; Education - Elementary or middle school; Education - High school; Education - Preschool or daycare; Education - Other classroom; Food Service - Uncategorized; Food Service - Fast food; Food Service  - Restaurant or cafeteria; Food Service - Bakery; Food Service  - Other; Nursing Home; Lodging - Uncategorized; Lodging - Dormitory or fraternity/sorority; Lodging -  Hotel; Lodging - Motel or inn; Lodging - Other; Retail - Uncategorized; Retail - Strip shopping mall; Retail - Enclosed mall; Retail - Other than mall; Retail - Small Box (< 50K sf); Retail - Big Box (> 50K sf); Retail - Vehicle dealership/showroom; Service - Uncategorized; Service -  Post office or postal center; Service -  Repair shop; Service - Vehicle service/repair shop; Service - Vehicle storage; Service  - Industrial shop; Service - Dry-cleaning or Laundry; Service - Art/Video/Photography Studio; Service - Other service; Parking Garage; Transportation Terminal; Industrial; Agricultural; Data Center; Residential; Other,ENUM,1
,Ownership Status,"The relationship of a housing unit's occupants to the structure itself, not the land on which the structure is located.",OwnershipStatusEnum,,Own or Buying; Renting; Occupying without payment of rent; Other Or Combination; Unknown,ENUM,3
,Owner State,The state in which the site is located.,StateEnum,,DC; AS; GU; CM; PR; VI; PTR; AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RIL; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,ENUM,1
ActivityArea,,,,,,,
,Activity Type,A space or area within a building designated for a particular activity,ActivityTypeEnum,,Vacant; Commercial - Uncategorized; Office - Uncategorized; Office  - Administrative or Professional; Office - Bank or other financial; Office - Government; Office - Medical non diagnostic; Office - Mixed use; Office - Other; Laboratory; Warehouse - Uncategorized; Warehouse - Refrigerated; Warehouse - Non-refrigerated; Warehouse - Distribution or Shipping center; Warehouse - Self-storage; Food Sales; Convenience store; Convenience store with gas station; Grocery store or food market; Public Safety - Uncategorized; Public Safety - Courthouse; Public Safety - Fire or police station; Public Safety - Jailhouse; Public Safety - Penitentiary; Health Care - Uncategorized; Health Care - Outpatient Uncategorized; Health Care - Outpatient Diagnostic; Health Care - Outpatient Clinic; Health Care - Inpatient; Religious worship; Public Assembly - Uncategorized; Public Assembly - Entertainment/culture; Public Assembly - Movie Theater; Public Assembly - Drama theater; Public Assembly - Large Hall; Public Assembly - Library; Public Assembly - Recreation; Public Assembly - Arena; Public Assembly - Stadium; Public Assembly - Social/meeting; Public Assembly - Funeral home; Public Assembly - Pool; Public Assembly - Other; Education - Uncategorized; Education - College or university; Education - Elementary or middle school; Education - High school; Education - Preschool or daycare; Education - Other classroom; Food Service - Uncategorized; Food Service - Fast food; Food Service  - Restaurant or cafeteria; Food Service - Bakery; Food Service  - Other; Nursing Home; Lodging - Uncategorized; Lodging - Dormitory or fraternity/sorority; Lodging -  Hotel; Lodging - Motel or inn; Lodging - Other; Retail - Uncategorized; Retail - Strip shopping mall; Retail - Enclosed mall; Retail - Other than mall; Retail - Small Box (< 50K sf); Retail - Big Box (> 50K sf); Retail - Vehicle dealership/showroom; Service - Uncategorized; Service -  Post office or postal center; Service -  Repair shop; Service - Vehicle service/repair shop; Service - Vehicle storage; Service  - Industrial shop; Service - Dry-cleaning or Laundry; Service - Art/Video/Photography Studio; Service - Other service; Parking Garage; Transportation Terminal; Industrial; Agricultural; Data Center; Residential; Other,ENUM,1
,Connected Load,Connected load from activity area-specific equipment. [kW],,,,double,3
AirDistribution,,,,,,,
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Economizer,Type of air economizer system in this air-distribution system.,EconomizerEnum,,Uncategorized; Dry-bulb - Uncategorized; Dry-Bulb - Fixed; dry-Bulb - Differential; Enthalpy - Uncategorized; Enthalpy - Fixed; Enthalpy - Differential; Demand Controlled Ventilation; Nonintegrated; None; Unknown,ENUM,1
,Duct Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space; Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Air Distribution Equipment Type,Ventilation equipment utilized in the facility. Allow multi-select.,AirDistributionEquipmetTypeEnum,,Air Handler Units(AHU); Make Up Air Units (MAU); Energy/Heat Recovery Unit (ERV/HRV); Other; Unknown,ENUM,1
,Ventilation Supply Locations,Location that ventilation equipment supplies. Allow multi-select.,VentilationSupplyLocationsEnum,,Corridors; Tenant Spaces; Common Area; Other,ENUM,3
,Exhaust Ventilation Locations,Location where there is exhaust equipment.,ExhaustVentilationLocationsEnum,,Corridors; Bathrooms; Kitchens; Garage; Other,ENUM,3
Heating,,,,,,,
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Burner Quantity,Number of total burners in this heating equipment.,BurnerQuantity,,,int,3
,Burner Year of Manufacture,Year of manufacture of the burner(s) in the heating equipment.,BurnerYearofManufature,,,int,3
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
ZonalHeating,,,,,,,
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
Cooling,,,,,,,
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Primary,True if the system is the primary cooling equipment for the building.,Primary,,,boolean,2
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
ZonalCooling,,,,,,,
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space; Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,3
,Efficiency,Efficiency of system.,Efficiency,,,double,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,2
OtherHVAC,,,,,,,
,Other HVAC Type,"Type of  heating, ventilation, and air-conditioning (HVAC) equipment that is not classified as heating, cooling, air-distribution, zonal heating, or zonal cooling.",OtherHVACTypeEnum,,Humidifier; Dehumidifier; Air Cleaner; Non-conditioning Fan; Mechanical Ventilator; Other Or Combination; Unknown,ENUM,1
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Efficiency,Efficiency of system.,Efficiency,,,double,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,2
ServiceHotWater,,,,,,,
,Service Hot Water Type,Type of water heating equipment for hot running water.,ServiceHotWaterTypeEnum,,Outdoor; Storage Tank - Uncategorized; Storage Tank - Distributed; Storage Tank - Looped; Storage Tank - Point-Of Use; Storage Tank - Direct-fired; Unspecified; Instantaneous; Heat pump; Tankless; Heat Exchanger; From Space Heating Boiler; Other Or Combination; Unknown,ENUM,1
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Percent Of Floor Area Served,The percentage of a facility’s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Venting Type,Venting type for service hot water equipment.,VentingTypeEnum,,Condensing; Near-Condensing; Forced Draft; Atmospheric; Other or Combination; Unknown,ENUM,3
GeneralControlsAndOperations,,,,,,,
,Number of Coils Replaces,"If air conditioning was replaced in the last ten years, then the number of coils that were replaced.",NumberOfCoilsReplaces,,,,3
Roof/Ceiling,,,,,,,
,Roof Type,Type of roof construction material.,RoofTypeEnum,,Built-up; Shingles; Slate or tile shingles; Wood shingles/shakes/other wood; Asphalt/fiberglass/other shingles; Metal surfacing; Plastic/rubber/synthetic sheeting; Concrete; Cool Roof; Green Roof; Blue Roof; Other Or Combination; Unknown,ENUM,1
,Attic Access Location,Location of equipment or component.,LocationWithinBuildingEnum,,Conditioned Space; Unconditioned Space; Outdoors; Closet; Garage; Other; Unknown,ENUM,2
Fenestration,,,,,,,
,Window Glass Type,Type of glass in windows.,WindowGlassTypeEnum,,Clear; Low-e; Tinted; Reflective; Tinted/Reflective; High Performance; Other Or Combination; Unknown,ENUM,1
ITSystem,,,,,,,
,Installed Power,Installed power for this system. [kW],InstalledPower,,,double,3
ProcessLoad,,,,,,,
,Process Load Type,Type of general miscellaneous equipment not categorized elsewhere.,ProcessLoadTypeEnum,,Medical Equipment; Laboratory Equipment; Machinery; Motor; Air Compressor; Fume Hood; Appliance; Gaming/Hobby/Leisure; Infrastructure; Electric Vehicle Charging; Other Or Combination; Unknown,ENUM,2
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
Laundry,,,,,,,
,Laundry Type,Type of laundry system.,LaundryTypeEnum,,Washer - Uncategorized; Washer - Residential; Washer - Commercial; Dryer - Uncategorized; Dryer - Residential; Dryer - Commercial; All-in-One Combination Washer Dryer; Unitized/Stacked Washer & Dryer Pair; Onsite Laundry Facility; Other; Unknown,ENUM,2
Conveyance,,,,,,,
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
OnSiteGeneration,,,,,,,
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,3
,Used for Demand Response,"True if the equipment is used to participate in demand response, false otherwise.",UsedForDemandResponse,,,boolean,3
EnergyStorage,,,,,,,
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,3
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility’s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,3
,Fuel,Type of fuel stored.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,3
Pool,,,,,,,
,Pool Type,Type of pool or spa.,PoolTypeEnum,,Hot Tub or Spa; Pool - Uncategorized; Pool - Olympic; Pool - Recreational; Pool - Short Course; Other Or Combination; Unknown,ENUM,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
Measures,,,,,,,
,Measure List,"Energy efficiency measures, or other changes that affect the energy use of this facility. Measures may be multi-selected to indicate 'packages' of measures.",MeasureListEnum,,Commissioning or Retro-commissioning; Cleaning and/or Repair - Uncategorized; Training and/or Documentation - Uncategorized; Operating Protocols or Calibration and/or Sequencing - Uncategorized; Envelope - Uncategorized; Envelope - Replace Glazing; Envelope - Increase Wall Insulation; Envelope - Increase Ceiling Insulation; Envelope - Increase Roof Insulation; Envelope - Increase Floor Insulation; Envelope - Cool or Green Roof Installed; Envelope - Add Window Films; Envelope - Add Shading Devices; Envelope - Cleaning and/or Repair; Envelope - Air Sealing (changed from weather-stripping); Envelope - Insulation or Replacement of Solar Screens; Envelope - Insulate Attic Hatch Or Stair Box; Envelope - Add Attic/Knee Wall Insulation; Envelope - Insulate Thermal Bypass; Envelope - Insulate Foundation; HVAC - System - Uncategorized; HVAC - System - Operating Protocols Calibration and/or Sequencing; HVAC - System - Cleaning and/or Repair ; HVAC - System - Training and/or Documentation; HVAC  - Heating - Uncategorized; HVAC - Heating - Replace Boiler or Furnace; HVAC - Heating - Replace Burner; HVAC - Heating - Replace Packaged Terminal Units; HVAC - Heating - Add Heat Recovery; HVAC - Heating - Convert Gas-Fired Unit to Boiler Loop; HVAC - Heating - Boiler Room Insulation; HVAC - Heating - Operating Protocols or Calibration and/or Sequencing; HVAC - Heating - Cleaning and Repair; HVAC - Ventilation - Uncategorized; HVAC - Ventilation - Duct Sealing; HVAC - Ventilation - Duct Insulation; HVAC - Ventilation - Balancing; HVAC - Ventilation -  Operating Protocols Calibration and/or Sequencing ; HVAC - Ventilation - Upgrade Fans; HVAC - Ventilation - Cleaning and Repair; HVAC - Cooling -Uncategorized; HVAC - Cooling - Replace Chiller; HVAC - Cooling - Replace Package Units; HVAC - Cooling -  Operating Protocols or Calibration and/or Sequencing ; HVAC - Cooling - Economizer Cycle; HVAC - Cooling - Heat Recovery; HVAC - Cooling - Add or replace Cooling Tower; HVAC - Cooling - Install VSD on Electric Centrifugal Chillers; HVAC - Distribution - Uncategorized; HVAC - Distribution - Add Pipe Insulation; HVAC - Distribution -  Add Duct Insulation; HVAC - Distribution - Balancing; HVAC - Distribution - Operating Protocols Calibration and/or Sequencing; HVAC - Distribution - Replace or Modify AHU; HVAC - Distribution - Repair Leaks Or Seal Ducts; HVAC - Distribution - Improve Fans or Pumps; HVAC - Distribution - Convert System from Steam to hot Water; HVAC - Distribution - Convert CV System to VAV System; HVAC - Controls - Uncategorized; HVAC - Controls - Add or Upgrade BAS/EMS/EMCS; HVAC - Controls - Add or Upgrade Controls; HVAC - Controls - Pneumatic to DDC Convert; Domestic Hot Water - Uncategorized; Domestic Hot Water - Replace or Upgrade Heater; Domestic Hot Water - Heat Recovery; Domestic Hot Water - Add Pipe Insulation; Domestic Hot Water - Install Low-Flow Fixtures; Domestic Hot Water - Add Recirculating Pumps; Domestic Hot Water - Separate DHW from Heating; Domestic Hot Water - Solar Hot Water; Domestic Hot Water - Operating Protocols Calibration and/or Sequencing; Motors - Uncategorized; Motors - Replace with higher efficiency; Motors - Replace with VSD; Motors - Add Drive Controls; Lighting - Uncategorized; Lighting - Retrofit/Replace; Lighting - Cleaning and/or Repair; Lighting - Operation Protocols or Calibration and/or Sequencing; Lighting - Retrofit with T-8; Lighting - Retrofit with T-5; Lighting - Retrofit with CFLs; Lighting - Add occupancy sensors; Lighting - Add daylight dimming; Data Center - Uncategorized; Process/Plug Equipment - Uncategorized; Process/Plug Equipment - Replace with Energy Star Rated; Process/Plug Equipment - Operating Protocols Calibration and/or Sequencing; Process/Plug Equipment - Cleaning and/or Repair; On-Site Generation - Uncategorized; Fuel Conversion; Addition or Annex; Other; Unknown,ENUM,1
,Early Compliance,True if the audit was performed early in the compliance process.,EarlyCompliance,,,boolean,4
,Auditor Qualification,Qualification of auditor responsible for execution of Energy Efficiency Measure.,QualificationEnum,,PE; CEM; BPI-BA; DOB; RESNET-Home Partner; RA; Refrigerating System Operating Engineer; High Pressure Boiler Operating Engineer; Other; Unknown,ENUM,4
,Audit Team Member Certification Type,"Type of certification held by the team member specified in ""Audit Team Member with Certification"".",CertificationEnum,,NYSERDA Flex Tech; Certified Energy Manager (CEM); Certified Energy Auditor (CEA); High-Performance Building Design; Professional (HPBD); Multifamily Building Analyst (MFBA); Other; Unknown,ENUM,4
,Implementer Team Member Certification Type,Qualification of implementer responsible for execution of Energy Efficiency Measure.,CertificationOfImplementerEnum,,Certified Commissioning Pro (CMP); Certified Building Commissioning Pro (CBCP); Existing Building Commissioning Pro (EBCP); Commissioning Process Management Pro (CPMP); Accredited Commissioning Process Authority Pro (ACPAP); Other; Unknown,ENUM,4
,Annual Savings (Total Energy),Total energy savings per year resulting from this measure package. [Btu / year],AnnualSavingsTotalEnergy,,,double,3
,Annual Savings (Electric),Electric savings per year resulting from this measure package. [kW/year],AnnualSavingsElectric,,,double,3
,Annual Savings (Non-electric),Non-electric fuel savings per year resulting from this measure package. [MMBtu],AnnualSavingsNonelectric,,,double,3
,Implementation Status,Implementation status of measure.,ImplementationStatusEnum,,Completed; In Progress; Selected; Recommended; Further Study Recommended; Not Recommended; Satisfactory Repair Not Achieved; Other; Unknown,ENUM,3
,Auditor Qualification State,"If Auditor Qualification 1 is state-issued, the state the qualification is from.",StateOfAuditorQualificationEnum,,AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RIL; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,,4
,Implementer Qualification State,The state in which the site is located.,StateEnum,,AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RIL; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,,1
,Auditor Team Member With Certification,"Name of auditor team member with certification specified in ""Audit Team Member Certification Type"".",AuditorTeamMemberwithCertification,,,,4
,Implementer Team Member With Certification,"Name of the implementing team member with certification specified in ""Implementer Team Member Certification Type"".",ImplementerTeamMemberwithCertification,,,,4
EnergyUse,,,,,,,
,End Use Type,End use that this Energy Use primarily applies to.,EndUseTypeEnum,,Whole Building; Lighting - Uncategorized; Lighting - Interior; Lighting - Exterior; Heating; Cooling; Ventilation; Pump; IT; Plug; Process; Conveyance; Domestic Hot Water; Refrigeration; Cooking; Dishwasher; Laundry; Pool Heating; On-site Generation; Owner Paid Electricity Use; Other Or Combination; Unknown,ENUM,1
,Complete Fuel,True if this Energy Use record covers total consumption of this fuel type in this facility; false otherwise.,CompleteFuel,,,,1
,Complete End Use,True if this Energy Use covers total consumption of this end use; false otherwise.,CompleteEndUse,,,,2
,Add to Total Energy Use,True if this energy use should be added to the total energy use of the facility; false otherwise. E.g. A tenant sub-meter would not be added to total if the master meter already includes tenant energy use.,AddToTotalEnergyUse,,,boolean,1
TimeSeries,,,,,,,
,Percent of Total,Percent of total energy for this period .[%],PercentOfTotal,,,double,3
,Green House Gas Emissions,Total green house gas emissions resulting from this period of energy use.,GreenHouseGasEmissions,,,double,3
