Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
,Building Certification Year 4,Year the facility earned certification. (Multiple instances of this field),BuildingCertificationYear4,,,int,1
,Building Certification Type 5,"Building energy labeling, rating, or sustainability certification obtained. (Multiple instances of this field)",BuildingCertificationType5Enum,,ASHRAE Building EQ; CMP Green Value Score; EPA ENERGY STAR Rating; EPA ENERGY STAR Label; Green Globes Rating; USGBC LEED Certification for New Construction & Major Renovation (NC); USGBC LEED Certification for Core & Shell Development (CS); USGBC LEED Certification for Commercial Interiors (CI); USGBC LEED Certification For Existing Buildings: Operations & Management (EBOM); USGBC LEED Certification for Retail; USGBC LEED Certification for Schools; USGBC LEED Certification for Healthcare; USGBC LEED Certification Neighborhood Development (ND); USGBC LEED Certification for Homes; Certified; Not Certified; Unknown,ENUM,1
,Building Certification Value 5,"Value specifying building certification, e.g. score or level. (Multiple instances of this field)",BuildingCertificationValue5,,,string,1
,Building Certification Year 5,Year the facility earned certification. (Multiple instances of this field),BuildingCertificationYear5,,,int,1
OnSiteGeneration,,,,,,,
,Capacity Unit,Capacity of the system.,CapacityUnitsEnum,,kW; kWh; Btu; tons; Gallons,ENUM,2
ZonalCooling,,,,,,,
,Capacity Unit,Capacity of the system.,CapacityUnitsEnum,,kW; kWh; Btu; tons; Gallons,ENUM,2
ZonalHeating,,,,,,,
,Capacity Unit,Capacity of the system.,CapacityUnitsEnum,,kW; kWh; Btu; tons; Gallons,ENUM,2
ProcessLoad,,,,,,,
,Capacity Unit,Capacity of the system.,CapacityUnitsEnum,,kW; kWh; Btu; tons; Gallons,ENUM,2
Cooking,,,,,,,
,Capacity Unit,Capacity of the system.,CapacityUnitsEnum,,kW; kWh; Btu; tons; Gallons,ENUM,2
